"sensor","tf_input_rpu","inducer_um","replicate","experiment_rpu"
"CI43470","0.123687361","0.0","1","2.507463"
"CI43470","0.123687361","0.0","2","2.379919"
"CI43470","0.123687361","0.0","3","1.863438"
"CI43470","0.123687361","0.0","4","1.75004"
"CI43470","0.123687361","0.0","5","1.989567"
"CI43470","0.123687361","0.0","6","1.93582"
"CI43470","0.782812757","0.0","1","2.423338"
"CI43470","0.782812757","0.0","2","2.447761"
"CI43470","0.782812757","0.0","3","1.876397"
"CI43470","0.782812757","0.0","4","1.850478"
"CI43470","0.782812757","0.0","5","2.014859"
"CI43470","0.782812757","0.0","6","1.964274"
"CI43470","2.036350173","0.0","1","2.341927"
"CI43470","2.036350173","0.0","2","2.371777"
"CI43470","2.036350173","0.0","3","1.886117"
"CI43470","2.036350173","0.0","4","1.876397"
"CI43470","2.036350173","0.0","5","1.942144"
"CI43470","2.036350173","0.0","6","1.957951"
"CI43470","4.641370673","0.0","1","2.336499"
"CI43470","4.641370673","0.0","2","2.379919"
"CI43470","4.641370673","0.0","3","1.882877"
"CI43470","4.641370673","0.0","4","1.947675"
"CI43470","4.641370673","0.0","5","1.904205"
"CI43470","4.641370673","0.0","6","1.850458"
"CI43470","7.648516866","0.0","1","2.371777"
"CI43470","7.648516866","0.0","2","2.257802"
"CI43470","7.648516866","0.0","3","1.847238"
"CI43470","7.648516866","0.0","4","1.77272"
"CI43470","7.648516866","0.0","5","1.882074"
"CI43470","7.648516866","0.0","6","1.897882"
"CI43470","0.011855467","0.001","1","2.263229"
"CI43470","0.011855467","0.001","2","2.455902"
"CI43470","0.011855467","0.001","3","1.717641"
"CI43470","0.011855467","0.001","4","1.795399"
"CI43470","0.011855467","0.001","5","1.689219"
"CI43470","0.011855467","0.001","6","1.79355"
"CI43470","0.123687361","0.001","1","2.56445"
"CI43470","0.123687361","0.001","2","2.580733"
"CI43470","0.123687361","0.001","3","1.899077"
"CI43470","0.123687361","0.001","4","1.886117"
"CI43470","0.123687361","0.001","5","1.765096"
"CI43470","0.123687361","0.001","6","1.458426"
"CI43470","0.782812757","0.001","1","2.605156"
"CI43470","0.782812757","0.001","2","2.556309"
"CI43470","0.782812757","0.001","3","1.947675"
"CI43470","0.782812757","0.001","4","1.905556"
"CI43470","0.782812757","0.001","5","2.033829"
"CI43470","0.782812757","0.001","6","1.970598"
"CI43470","2.036350173","0.001","1","2.401628"
"CI43470","2.036350173","0.001","2","2.447761"
"CI43470","2.036350173","0.001","3","1.892597"
"CI43470","2.036350173","0.001","4","1.905556"
"CI43470","2.036350173","0.001","5","1.970598"
"CI43470","2.036350173","0.001","6","1.989567"
"CI43470","4.641370673","0.001","1","2.328358"
"CI43470","4.641370673","0.001","2","2.455902"
"CI43470","4.641370673","0.001","3","1.960635"
"CI43470","4.641370673","0.001","4","1.882877"
"CI43470","4.641370673","0.001","5","2.046475"
"CI43470","4.641370673","0.001","6","1.93582"
"CI43470","7.648516866","0.001","1","2.46133"
"CI43470","7.648516866","0.001","2","2.192673"
"CI43470","7.648516866","0.001","3","1.827798"
"CI43470","7.648516866","0.001","4","1.818079"
"CI43470","7.648516866","0.001","5","1.983244"
"CI43470","7.648516866","0.001","6","1.863105"
"CI43470","0.011855467","0.01","1","2.336499"
"CI43470","0.011855467","0.01","2","2.580733"
"CI43470","0.011855467","0.01","3","1.652843"
"CI43470","0.011855467","0.01","4","1.743561"
"CI43470","0.011855467","0.01","5","1.787227"
"CI43470","0.011855467","0.01","6","1.749289"
"CI43470","0.123687361","0.01","1","2.833107"
"CI43470","0.123687361","0.01","2","2.833107"
"CI43470","0.123687361","0.01","3","1.656083"
"CI43470","0.123687361","0.01","4","1.76624"
"CI43470","0.123687361","0.01","5","1.93582"
"CI43470","0.123687361","0.01","6","1.923174"
"CI43470","0.782812757","0.01","1","3.107191"
"CI43470","0.782812757","0.01","2","2.702849"
"CI43470","0.782812757","0.01","3","2.002754"
"CI43470","0.782812757","0.01","4","1.899077"
"CI43470","0.782812757","0.01","5","2.081252"
"CI43470","0.782812757","0.01","6","2.046475"
"CI43470","2.036350173","0.01","1","2.572592"
"CI43470","2.036350173","0.01","2","2.27137"
"CI43470","2.036350173","0.01","3","1.924996"
"CI43470","2.036350173","0.01","4","1.821319"
"CI43470","2.036350173","0.01","5","1.897882"
"CI43470","2.036350173","0.01","6","1.929497"
"CI43470","4.641370673","0.01","1","2.379919"
"CI43470","4.641370673","0.01","2","2.531886"
"CI43470","4.641370673","0.01","3","1.636643"
"CI43470","4.641370673","0.01","4","1.954155"
"CI43470","4.641370673","0.01","5","1.93582"
"CI43470","4.641370673","0.01","6","1.983244"
"CI43470","7.648516866","0.01","1","2.455902"
"CI43470","7.648516866","0.01","2","2.187246"
"CI43470","7.648516866","0.01","3","1.856958"
"CI43470","7.648516866","0.01","4","1.798639"
"CI43470","7.648516866","0.01","5","1.897882"
"CI43470","7.648516866","0.01","6","1.863105"
"CI43470","0.011855467","0.05","1","2.276798"
"CI43470","0.011855467","0.05","2","2.719132"
"CI43470","0.011855467","0.05","3","1.669043"
"CI43470","0.011855467","0.05","4","1.743561"
"CI43470","0.011855467","0.05","5","1.780904"
"CI43470","0.011855467","0.05","6","1.777743"
"CI43470","0.123687361","0.05","1","3.004071"
"CI43470","0.123687361","0.05","2","2.930801"
"CI43470","0.123687361","0.05","3","1.967115"
"CI43470","0.123687361","0.05","4","2.009234"
"CI43470","0.123687361","0.05","5","1.957951"
"CI43470","0.123687361","0.05","6","1.929497"
"CI43470","0.782812757","0.05","1","2.132972"
"CI43470","0.782812757","0.05","2","0.363636"
"CI43470","0.782812757","0.05","5","1.755612"
"CI43470","0.782812757","0.05","6","1.787227"
"CI43470","2.036350173","0.05","1","2.350068"
"CI43470","2.036350173","0.05","2","2.092266"
"CI43470","2.036350173","0.05","3","1.78244"
"CI43470","2.036350173","0.05","4","1.76624"
