"panel","condition","x_value_uM","series_value_uM","mean_RPU","sample_SD_RPU"
"B1","1","0.05","1","0.105603","0.002913279938488575"
"B1","1","0.05","10","0.062895","0.0019417152211382634"
"B1","1","0.1","0","0.696512","0.04855136580983073"
"B1","1","0.1","1","0.1781105","0.008739132708684547"
"B1","1","0.1","10","0.1012085","0.009904444684079975"
"B1","1","0.5","0","1.3185935","0.24470066559063539"
"B1","1","0.5","1","0.5015105","0.036898953162657636"
"B1","1","0.5","10","0.241966","0.0"
"B1","1","1","0","1.859654","0.1475972268641928"
"B1","1","1","1","0.5839055","0.05243550335888841"
"B1","1","1","10","0.279044","0.005826559876977169"
"B2","2","0","0","0.042433","0.0005826559876977139"
"B2","2","0","1","0.036116499999999996","0.004466793536755418"
"B2","2","0","10","0.0204615","0.004466793536755421"
"B2","2","0.01","0","2.7248004999999997","0.09710343872644274"
"B2","2","0.01","1","0.5070034999999999","0.06797205355511923"
"B2","2","0.01","10","0.20351550000000002","0.011652412647173113"
"B2","2","0.05","0","8.9373795","0.09710343872644306"
"B2","2","0.05","1","2.2249385","0.08156688853021168"
"B2","2","0.05","10","1.021972","0.16701720750270016"
"B2","2","0.1","0","17.34853","0.7127353511647904"
"B2","2","0.1","1","3.1340295","0.17478618970759674"
"B2","2","0.1","10","1.6097225","0.17478618970759674"
"B2","2","0.5","0","17.34853","0.7127353511647904"
"B2","2","0.5","1","6.4943695","0.056320348014727226"
"B2","2","0.5","10","3.2727269999999997","0.09516101639852309"
"B2","2","1","0","18.92502","0.32821068355554767"
"B2","2","1","1","7.3718755","0.159249639511366"
"B2","2","1","10","3.865971","0.23110653772232398"
"B3","3","0","0","0.035842","0.008350931085813126"
"B3","3","0","0.1","0.7679210000000001","0.04466793536755425"
"B3","3","0","1","1.4669045","0.01942068774528858"
"B3","3","0.01","0","0.040236","0.0025243712088359772"
"B3","3","0.01","0.1","0.46031299999999997","0.029131385171323392"
"B3","3","0.01","1","0.7088715000000001","0.011652412647173132"
"B3","3","0.05","0","0.0052185","0.0038841375490577057"
"B3","3","0.05","0.1","0.034194","0.005243903889279436"
"B3","3","0.05","1","0.051222000000000004","0.006409215864674864"
"B3","3","0.1","0","0.01","0.0"
"B3","3","0.1","0.1","0.011672499999999999","0.002136169585964561"
"B3","3","0.1","1","0.0201865","0.0013597663402217317"
"B3","3","0.5","0","0.01","0.0"
"B3","3","0.5","0.1","0.0021975","0.00038820162287141446"
"B3","3","0.5","1","0.01","0.0"
"B3","3","1","0","0.01","0.0"
"B3","3","1","0.1","0.001648","0.0019417152211382593"
"B3","3","1","1","0.01","0.0"
"B4","4","0","0","0.0436695","0.004660540794800535"
"B4","4","0","0.1","10.79813","0.8681008531271003"
"B4","4","0","1","17.779735000000002","0.732159574443988"
"B4","4","0.01","0","0.14954699999999999","0.010292646306951375"
"B4","4","0.01","0.1","5.3628125","1.3497374447441621"
"B4","4","0.01","1","10.379294999999999","0.4505613699042552"
"B4","4","0.05","0","0.0019225000000000002","0.00038820162287141473"
"B4","4","0.05","0.1","0.3216145","0.0038841375490577235"
"B4","4","0.05","1","0.39989450000000004","0.005827266983758337"
"B4","4","0.1","0","0.001","0.0"
"B4","4","0.1","0.1","0.1569625","0.010680847929822806"
"B4","4","0.1","1","0.39988999999999997","0.00582655987697713"
"B4","4","0.5","0","0.001","0.0"
"B4","4","0.5","0.1","0.0661905","0.0034952288194051067"
"B4","4","0.5","1","0.11425450000000001","0.0031077343033148737"
"B4","4","1","0","0.001","0.0"
"B4","4","1","0.1","0.05493","0.0019417152211382584"
"B4","4","1","1","0.09461649999999999","0.003301481561359985"
"C1","1","0","0","0.0015985","0.0008464068170802975"
"C1","1","0","1","0.001","0.0"
"C1","1","0","10","0.0024720000000000002","0.002330623950790861"
"C1","1","0.01","0","0.015243","0.004854995159626837"
"C1","1","0.01","1","0.023344999999999998","0.007768275098115411"
"C1","1","0.01","10","0.019088","0.0025243712088359746"
"C1","1","0.05","0","0.11288100000000001","0.022528422048603412"
"C1","1","0.05","1","0.1498215","0.002525078315617155"
"C1","1","0.05","10","0.16739900000000002","0.008350931085813137"
"C1","1","0.1","0","0.34221349999999995","0.11458170414381172"
"C1","1","0.1","1","0.4026365","0.09516172350530439"
"C1","1","0.1","10","0.31749499999999997","0.029131385171323392"
"C1","1","0.5","0","0.9986265","0.1844961800268503"
"C1","1","0.5","1","0.9848945","0.009710697426034854"
"C1","1","0.5","10","0.938204","0.06408791600606155"
"C1","1","1","0","1.195001","0.2408165280415777"
"C1","1","1","1","1.3021150000000001","0.10098757627550027"
"C1","1","1","10","1.2059875","0.1437130893151351"
"C2","2","0","0","0.0086515","0.00640850875789368"
"C2","2","0","1","0.0057680000000000006","0.00233062395079086"
"C2","2","0","10","0.0024715","0.0027188255736622755"
"C2","2","0.01","0","1.5149685","0.033015522720381114"
"C2","2","0.01","1","1.254051","0.029131385171323434"
"C2","2","0.01","10","0.943697","0.09516101639852317"
"C2","2","0.05","0","6.865147","0.06020448556378522"
"C2","2","0.05","1","6.043944","0.304904444047639"
"C2","2","0.05","10","4.641856499999999","0.38841304779898966"
"C2","2","0.1","0","10.155452499999999","0.3087899958102583"
